"183"^*"GY001W"^*"GY1000004986"^*"TTT00001000018317"^*"1000000022"^*"20180923"^*"000316857"^*"20181007 14:31:08"^*"000967070"^*"20181007 14:31:38"^*"100"^*"1"^*"1"^*"0"^*"C10912"^*"325290004835"^*"上海银行股份有限公司临港支行"^*"李四"^*"12345"^*
"196"^*"GY001X"^*"GY1000004953"^*"TTT00001000017803"^*"1000000001"^*"10000"^*"admin"^*"20181009 14:43:59"^*"000967070"^*"20181009 14:44:31"^*"999000"^*"1"^*"1"^*"0"^*"C10102"^*"102100000021"^*"中国工商银行股份有限公司北京通州支行新华分理处"^*"111"^*"111"^*
"1000000014"^*"GY0009"^*"GY1000004964"^*"TTT00001000017802"^*"1000000002"^*"0001"^*"admin"^*"20180828 17:37:14"^*"000967070"^*"20180828 18:06:06"^*"1000000"^*"0"^*"1"^*"0"^*"C10102"^*"102100000021"^*"中国工商银行股份有限公司北京通州支行新华分理处"^*"qqq"^*"51378899098"^*
"1000000016"^*"GY0009"^*"GY1000004964"^*"TTT00001000017802"^*"1000000002"^*"111111111"^*"000967070"^*"20180828 19:05:10"^*"admin"^*"20180828 19:08:01"^*"111111111"^*"0"^*"1"^*"0"^*"C10102"^*"102100000021"^*"中国工商银行股份有限公司北京通州支行新华分理处"^*"qqq"^*"51378899098"^*
"1000000023"^*"GY000L"^*"GY1000004953"^*"TTT00001000017803"^*"1000000001"^*"111"^*"admin"^*"20180903 13:57:28"^*"000967070"^*"20180903 15:28:03"^*"111"^*"0"^*"1"^*""^*"C10102"^*"102100000021"^*"中国工商银行股份有限公司北京通州支行新华分理处"^*"111"^*"111"^*
"1000000136"^*"GY001S"^*"GY1000004964"^*"TTT00001000017802"^*"1000000002"^*"75678997"^*"000967070"^*"20181002 16:34:07"^*"admin"^*"20181002 17:46:33"^*"12345678"^*"0"^*"1"^*""^*"C10102"^*"102100000021"^*"中国工商银行股份有限公司北京通州支行新华分理处"^*"qqq"^*"51378899098"^*
"1000000148"^*"GY001S"^*"GY1000004975"^*"TTT00001000018201"^*"1000000021"^*"1809pm02"^*"admin"^*"20181002 16:48:56"^*"000967070"^*"20181002 17:57:02"^*"10000"^*"0"^*"1"^*""^*"C10912"^*"325290004835"^*"上海银行股份有限公司临港支行"^*"张三"^*"10086"^*
"1000000150"^*"GY001S"^*"GY1000004964"^*"TTT00001000017802"^*"1000000002"^*"20180920pm3"^*"admin"^*"20181002 17:55:46"^*"000967070"^*"20181002 17:57:02"^*"1000000"^*"0"^*"1"^*""^*"C10102"^*"102100000021"^*"中国工商银行股份有限公司北京通州支行新华分理处"^*"qqq"^*"51378899098"^*
"1000000161"^*"GY001T"^*"GY1000004964"^*"TTT00001000017802"^*"1000000002"^*"1234567"^*"000967070"^*"20181003 14:06:53"^*"admin"^*"20181003 14:07:09"^*"1234"^*"0"^*"1"^*""^*"C10102"^*"102100000021"^*"中国工商银行股份有限公司北京通州支行新华分理处"^*"qqq"^*"51378899098"^*
"1000000165"^*"GY001U"^*"GY1000004975"^*"TTT00001000018201"^*"1000000021"^*"55555"^*"000967070"^*"20181003 15:50:47"^*"admin"^*"20181003 15:51:33"^*"1"^*"0"^*"1"^*""^*"C10912"^*"325290004835"^*"上海银行股份有限公司临港支行"^*"张三"^*"10086"^*
"1000000167"^*"GY001U"^*"GY1000004953"^*"TTT00001000017803"^*"1000000001"^*"666666"^*"000316857"^*"20181003 16:07:55"^*"admin"^*"20181003 16:09:22"^*"1"^*"0"^*"1"^*""^*"C10102"^*"102100000021"^*"中国工商银行股份有限公司北京通州支行新华分理处"^*"111"^*"111"^*
"1000000169"^*"GY001U"^*"GY1000004964"^*"TTT00001000017802"^*"1000000002"^*"77777"^*"admin"^*"20181003 16:16:57"^*"000967070"^*"20181003 16:17:54"^*"12345"^*"0"^*"1"^*""^*"C10102"^*"102100000021"^*"中国工商银行股份有限公司北京通州支行新华分理处"^*"qqq"^*"51378899098"^*
"1000000173"^*"GY001W"^*"GY1000004986"^*"TTT00001000018317"^*"1000000022"^*"20180925"^*"000967070"^*"20181007 10:54:42"^*"admin"^*"20181007 10:57:11"^*"12345"^*"0"^*"1"^*"0"^*"C10912"^*"325290004835"^*"上海银行股份有限公司临港支行"^*"李四"^*"12345"^*
"1000000175"^*"GY001W"^*"GY1000004975"^*"TTT00001000018201"^*"1000000021"^*"20180925-2"^*"admin"^*"20181007 11:01:35"^*"000967070"^*"20181007 11:02:11"^*"100000"^*"0"^*"1"^*"0"^*"C10912"^*"325290004835"^*"上海银行股份有限公司临港支行"^*"张三"^*"10086"^*
"1000000186"^*"GY001X"^*"GY1000004953"^*"TTT00001000017803"^*"1000000001"^*"0927"^*"000967070"^*"20181009 13:50:59"^*"admin"^*"20181009 13:51:41"^*"100000"^*"0"^*"1"^*"0"^*"C10102"^*"102100000021"^*"中国工商银行股份有限公司北京通州支行新华分理处"^*"111"^*"111"^*
"1000000188"^*"GY001X"^*"GY1000005000"^*"TTT00001000018333"^*"1000000024"^*"12345678909"^*"admin"^*"20181009 14:03:57"^*"000967070"^*"20181009 14:04:41"^*"1000000"^*"0"^*"1"^*"0"^*"C10912"^*"325290004835"^*"上海银行股份有限公司临港支行"^*"1234567890"^*"1234567890"^*
"1000000203"^*"GY002X"^*"GY1000005022"^*"TTT00001000018601"^*"TA2"^*"23523452345"^*"000967070"^*"20181119 14:21:40"^*"admin"^*"20181119 14:23:03"^*"500000"^*"0"^*"1"^*""^*"C10926"^*"313333060032"^*"金华银行股份有限公司温州瓯海小微企业专营支行"^*"mck20181107客户1"^*"345324532453245"^*
"1000000209"^*"GY002Y"^*"GY1000005022"^*"TTT00001000018601"^*"TA2"^*"222333"^*"000967070"^*"20181120 16:20:30"^*"admin"^*"20181120 16:22:46"^*"500000"^*"0"^*"1"^*""^*"C10926"^*"313333060032"^*"金华银行股份有限公司温州瓯海小微企业专营支行"^*"mck20181107客户1"^*"345324532453245"^*
